<SIL> SIL_S
so s_B o_E
ri r_B i_E
ye y_B e_E
da d_B a_E
pa p_B a_E
li l_B i_E
xo x_B o_E
ga g_B a_E
ko k_B o_E
be b_B e_E
ya y_B a_E
ze z_B e_E
mu m_B u_E
lo l_B o_E
zi z_B i_E
ma m_B a_E
no n_B o_E
mi m_B i_E
gu g_B u_E
ku k_B u_E
fe f_B e_E
ka k_B a_E
ba b_B a_E
ro r_B o_E
na n_B a_E
si s_B i_E
di d_B i_E
me m_B e_E
do d_B o_E
ra r_B a_E
ni n_B i_E
la l_B a_E
ti t_B i_E
zo z_B o_E
lu l_B u_E
fo f_B o_E
ta t_B a_E
po p_B o_E
fi f_B i_E
bu b_B u_E
fu f_B u_E
mo m_B o_E
pe p_B e_E
te t_B e_E
de d_B e_E
cha ch_B a_E
rro rr_B o_E
za z_B a_E
go g_B o_E
ke k_B e_E
rre rr_B e_E
sa s_B a_E
rri rr_B i_E
nya ny_B a_E
bi b_B i_E
xe x_B e_E
re r_B e_E
xa x_B a_E
du d_B u_E
ne n_B e_E
yo y_B o_E
to t_B o_E
che ch_B e_E
pi p_B i_E
tu t_B u_E
bo b_B o_E
ge g_B e_E
chu ch_B u_E
se s_B e_E
nyo ny_B o_E
rra rr_B a_E
le l_B e_E
gi g_B i_E
cho ch_B o_E
nu n_B u_E
xi x_B i_E
tie t_B i_I e_E
yi y_B i_E
fa f_B a_E
<eps> SIL
