<SIL> <SIL> SIL_S
<eps> <eps> SIL
ba ba b_B a_E
be be b_B e_E
bi bi b_B i_E
bo bo b_B o_E
bu bu b_B u_E
cha cha ch_B a_E
che che ch_B e_E
cho cho ch_B o_E
chu chu ch_B u_E
da da d_B a_E
de de d_B e_E
di di d_B i_E
do do d_B o_E
du du d_B u_E
fa fa f_B a_E
fe fe f_B e_E
fi fi f_B i_E
fo fo f_B o_E
fu fu f_B u_E
ga ga g_B a_E
ge ge g_B e_E
gi gi g_B i_E
go go g_B o_E
gu gu g_B u_E
ka ka k_B a_E
ke ke k_B e_E
ko ko k_B o_E
ku ku k_B u_E
la la l_B a_E
le le l_B e_E
li li l_B i_E
lo lo l_B o_E
lu lu l_B u_E
ma ma m_B a_E
me me m_B e_E
mi mi m_B i_E
mo mo m_B o_E
mu mu m_B u_E
na na n_B a_E
ne ne n_B e_E
ni ni n_B i_E
no no n_B o_E
nu nu n_B u_E
nya nya ny_B a_E
nyo nyo ny_B o_E
pa pa p_B a_E
pe pe p_B e_E
pi pi p_B i_E
po po p_B o_E
ra ra r_B a_E
re re r_B e_E
ri ri r_B i_E
ro ro r_B o_E
rra rra rr_B a_E
rre rre rr_B e_E
rri rri rr_B i_E
rro rro rr_B o_E
sa sa s_B a_E
se se s_B e_E
si si s_B i_E
so so s_B o_E
ta ta t_B a_E
te te t_B e_E
ti ti t_B i_E
tie tie t_B i_I e_E
to to t_B o_E
tu tu t_B u_E
xa xa x_B a_E
xe xe x_B e_E
xi xi x_B i_E
xo xo x_B o_E
ya ya y_B a_E
ye ye y_B e_E
yi yi y_B i_E
yo yo y_B o_E
za za z_B a_E
ze ze z_B e_E
zi zi z_B i_E
zo zo z_B o_E
