N	Speaker ID	Task	Evaluation	Target	Response	Hit	Correct	Target Utterance	Responsed Utterance	Number of Syllables	TargetC	TargetV	RespC	RespV	TargetCManner	TargetCVoice	TargetCPlace	RespCanner	RespVoice	RespPlace	CorrC	CorrV	CorrManner	CorrVoice	CorrPlace	
0	CA016	QL1	H36	ya	ya	C	1	ya te	ya te	2	y	a	y	a	fric	Voiced	Coronal	fric	Voiced	Coronal	1	1	1	1	1	
1	CA016	QL1	H36	te	te	C	1	ya te	ya te	2	t	e	t	e	Ocl	Vless	Coronal	Ocl	Vless	Coronal	1	1	1	1	1	
2	CA016	QL1	H36	no	no	C	1	no lu	no lu	2	n	o	n	o	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
3	CA016	QL1	H36	lu	lu	C	1	no lu	no lu	2	l	u	l	u	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
4	CA016	QL1	H36	chu	chu	C	1	chu lo	chu lo	2	ch	u	ch	u	Afic	Vless	Coronal	Afic	Vless	Coronal	1	1	1	1	1	
5	CA016	QL1	H36	lo	lo	C	1	chu lo	chu lo	2	l	o	l	o	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
6	CA016	QL1	H36	pa	pa	C	1	pa pe ri no	pa pa ri no	4	p	a	p	a	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	1	1	1	1	
7	CA016	QL1	H36	pe	pa	S	0	pa pe ri no	pa pa ri no	4	p	e	p	a	Ocl	Vless	Frontal	Ocl	Vless	Frontal	1	0	1	1	1	
8	CA016	QL1	H36	ri	ri	C	1	pa pe ri no	pa pa ri no	4	r	i	r	i	Aprox	Voiced	Coronal	Aprox	Voiced	Coronal	1	1	1	1	1	
9	CA016	QL1	H36	no	no	C	1	pa pe ri no	pa pa ri no	4	n	o	n	o	nas	Voiced	Coronal	nas	Voiced	Coronal	1	1	1	1	1	
